time,open,high,low,close,volume
2026-02-13 10:00:00+00:00,0.9164,0.9221,0.9142,0.9164,133714.7
2026-02-13 11:00:00+00:00,0.9162,0.9174,0.9063,0.9108,193295.3
2026-02-13 12:00:00+00:00,0.9108,0.9142,0.9071,0.9105,133510.1
2026-02-13 13:00:00+00:00,0.9105,0.9227,0.9068,0.9187,189230.9
2026-02-13 14:00:00+00:00,0.9187,0.9393,0.9165,0.9271,453579.8
2026-02-13 15:00:00+00:00,0.9277,0.9472,0.9269,0.9347,290147.9
2026-02-13 16:00:00+00:00,0.9343,0.9531,0.9342,0.9502,336909.8
2026-02-13 17:00:00+00:00,0.95,0.9569,0.9459,0.9517,195576.4
2026-02-13 18:00:00+00:00,0.9519,0.9527,0.9461,0.9497,189016.0
2026-02-13 19:00:00+00:00,0.9497,0.9512,0.945,0.9489,200522.5
2026-02-13 20:00:00+00:00,0.9487,0.952,0.9449,0.95,154343.2
2026-02-13 21:00:00+00:00,0.95,0.955,0.9489,0.9521,124083.7
2026-02-13 22:00:00+00:00,0.9518,0.9531,0.9389,0.9406,169118.8
2026-02-13 23:00:00+00:00,0.9406,0.9431,0.936,0.9391,129906.1
2026-02-14 00:00:00+00:00,0.9393,0.955,0.935,0.9521,164519.9
2026-02-14 01:00:00+00:00,0.9519,0.9542,0.9468,0.9509,134051.2
2026-02-14 02:00:00+00:00,0.9507,0.9528,0.944,0.9451,109382.7
2026-02-14 03:00:00+00:00,0.9453,0.9491,0.9419,0.9465,108207.6
2026-02-14 04:00:00+00:00,0.9463,0.9509,0.9421,0.9479,111372.4
2026-02-14 05:00:00+00:00,0.9479,0.9531,0.9441,0.9442,144087.6
2026-02-14 06:00:00+00:00,0.9442,0.947,0.9416,0.9458,111683.7
2026-02-14 07:00:00+00:00,0.9456,0.9585,0.9447,0.9554,151907.0
2026-02-14 08:00:00+00:00,0.9556,0.9644,0.9549,0.9642,219020.0
2026-02-14 09:00:00+00:00,0.9641,0.9664,0.959,0.9623,201645.1
2026-02-14 10:00:00+00:00,0.9625,0.9625,0.9547,0.9563,140108.2
2026-02-14 11:00:00+00:00,0.9563,0.966,0.9554,0.9638,204153.6
2026-02-14 12:00:00+00:00,0.9638,0.9662,0.9562,0.9568,196610.8
2026-02-14 13:00:00+00:00,0.9566,0.959,0.9481,0.9571,445642.6
2026-02-14 14:00:00+00:00,0.9571,0.9732,0.9557,0.9718,252544.9
2026-02-14 15:00:00+00:00,0.972,0.9752,0.9637,0.9748,384828.1
2026-02-14 16:00:00+00:00,0.9748,0.9787,0.9616,0.9778,389904.2
2026-02-14 17:00:00+00:00,0.9781,0.986,0.9754,0.98,250048.9
2026-02-14 18:00:00+00:00,0.9801,0.9928,0.9795,0.9912,507960.2
2026-02-14 19:00:00+00:00,0.9912,1.0071,0.9878,1.0036,373761.0
2026-02-14 20:00:00+00:00,1.0036,1.0052,0.9833,0.9921,404632.2
2026-02-14 21:00:00+00:00,0.9921,1.0014,0.9835,0.985,226241.5
2026-02-14 22:00:00+00:00,0.985,0.9961,0.9826,0.9901,148689.7
2026-02-14 23:00:00+00:00,0.9897,0.9954,0.9826,0.9868,135937.3
2026-02-15 00:00:00+00:00,0.9868,0.9874,0.9718,0.9768,162301.0
2026-02-15 01:00:00+00:00,0.977,0.9861,0.975,0.9828,177993.2
2026-02-15 02:00:00+00:00,0.9821,0.9853,0.9671,0.9732,206201.0
2026-02-15 03:00:00+00:00,0.9732,0.9754,0.9574,0.9744,253042.9
2026-02-15 04:00:00+00:00,0.9742,0.9854,0.9681,0.9709,168724.6
2026-02-15 05:00:00+00:00,0.9703,0.9813,0.9686,0.9773,136146.4
2026-02-15 06:00:00+00:00,0.9771,0.9784,0.9689,0.9709,132416.1
2026-02-15 07:00:00+00:00,0.9709,0.9863,0.9697,0.9842,151688.9
2026-02-15 08:00:00+00:00,0.984,0.9871,0.9598,0.9671,216987.5
2026-02-15 09:00:00+00:00,0.9669,0.9744,0.965,0.9723,139283.7
2026-02-15 10:00:00+00:00,0.9721,0.9723,0.9511,0.963,270317.0
2026-02-15 11:00:00+00:00,0.9628,0.9654,0.9606,0.962,180302.9
2026-02-15 12:00:00+00:00,0.9622,0.9632,0.9323,0.9332,428954.5
2026-02-15 13:00:00+00:00,0.9336,0.9426,0.9204,0.9234,482821.8
2026-02-15 14:00:00+00:00,0.9229,0.9321,0.9213,0.9308,184125.6
2026-02-15 15:00:00+00:00,0.9306,0.9327,0.9237,0.9269,159698.1
2026-02-15 16:00:00+00:00,0.9271,0.9271,0.9169,0.9259,179897.5
2026-02-15 17:00:00+00:00,0.9259,0.9288,0.9064,0.9164,321236.1
2026-02-15 18:00:00+00:00,0.9164,0.9192,0.9061,0.9118,284528.1
2026-02-15 19:00:00+00:00,0.9116,0.9184,0.9042,0.9151,249400.0
2026-02-15 20:00:00+00:00,0.9145,0.9229,0.9101,0.9211,234573.2
2026-02-15 21:00:00+00:00,0.9211,0.9265,0.919,0.9201,108872.3
2026-02-15 22:00:00+00:00,0.9203,0.9285,0.9184,0.9269,123272.0
2026-02-15 23:00:00+00:00,0.9269,0.9338,0.9158,0.9326,149580.9
2026-02-16 00:00:00+00:00,0.9328,0.9364,0.9287,0.9306,177336.0
2026-02-16 01:00:00+00:00,0.9306,0.9377,0.9275,0.9297,143935.4
2026-02-16 02:00:00+00:00,0.9299,0.9338,0.9248,0.9272,487460.8
2026-02-16 03:00:00+00:00,0.927,0.9287,0.9225,0.926,180781.0
2026-02-16 04:00:00+00:00,0.9258,0.9317,0.9248,0.9316,115343.7
2026-02-16 05:00:00+00:00,0.9314,0.9343,0.9167,0.9207,155288.0
2026-02-16 06:00:00+00:00,0.9207,0.9279,0.9179,0.9236,159755.2
2026-02-16 07:00:00+00:00,0.9238,0.9238,0.913,0.9158,137142.5
2026-02-16 08:00:00+00:00,0.916,0.9214,0.9149,0.9164,115637.1
2026-02-16 09:00:00+00:00,0.9164,0.9235,0.9142,0.9176,180102.8
2026-02-16 10:00:00+00:00,0.9176,0.9207,0.9142,0.9153,143054.3
2026-02-16 11:00:00+00:00,0.9155,0.9172,0.9029,0.9108,302354.9
