timeframe,pattern,direction,family,count,mean_return_30m,median_return_30m,win_rate_30m,mean_return_60m,median_return_60m,win_rate_60m,mean_return_180m,median_return_180m,win_rate_180m,best_use,edge_score
30m,three_white_soldiers,long,continuation,2,-0.00011302023496911028,-0.00011302023496911028,0.5,-0.0017271573550789515,-0.0017271573550789515,0.5,-0.0053376868959845725,-0.0053376868959845725,0.5,weak_or_context_only,-15.771573550789515
30m,shooting_star,short,reversal,25,-0.0002802827418896548,0.0010725796888979967,0.6,-0.0019147205033564268,-0.0009170250442701793,0.4,-0.006789584431432876,-0.0017898926996614542,0.36,weak_or_context_only,-17.94720503356427
30m,evening_star,short,reversal,6,-0.0011527503018335032,-0.00020388991681091474,0.5,-0.0023254024275444164,-0.0026293244441521293,0.3333333333333333,-0.0017986949400132452,-0.007723114374310276,0.16666666666666666,weak_or_context_only,-22.254024275444163
30m,morning_star,long,reversal,6,-0.0010317531910015235,-0.0010795854107642374,0.3333333333333333,-0.0026087183217235383,-0.000751047296226375,0.3333333333333333,-0.006166970360490153,-0.003558530504369381,0.5,weak_or_context_only,-25.087183217235385
5m,morning_star,long,reversal,37,0.0012896518757374111,0.0008520110909189497,0.5675675675675675,0.003755054371131693,0.00161067870335549,0.6216216216216216,0.0072060202511474965,0.004361376728388712,0.6756756756756757,entry_hold,75.16831061958308
5m,inverted_hammer,long,reversal,86,2.6601585620821423e-05,0.0006725916065945501,0.627906976744186,0.0003465881071964549,0.00094650575431125,0.5697674418604651,0.0012235699774353723,0.0024330477712474234,0.6046511627906976,entry_hold,15.084536983656049
5m,hanging_man,short,reversal,108,0.0006086752647258871,0.0005918241969095749,0.5925925925925926,0.0009776207843949442,0.0004730267224274334,0.5277777777777778,-0.00012184265507905243,0.0003473739059038205,0.514018691588785,entry_scalp_or_exit,11.887318955060552
5m,piercing_line,long,reversal,95,0.00018708639136780933,0.000701016473887202,0.5684210526315789,0.000491839448236086,0.00018293519520704704,0.5263157894736842,0.0009125607809935791,0.0009595533715216278,0.5894736842105263,entry_hold,11.757186757304213
5m,gravestone_doji,short,reversal,64,-9.199469083232077e-05,-2.3365089239744193e-05,0.5,0.0005176714427158752,-0.0002845449415022593,0.47619047619047616,-0.0028874607668823234,-0.0018666044465182672,0.36507936507936506,weak_or_context_only,6.60528585573018
5m,bearish_marubozu,short,continuation,278,4.7749903093429736e-05,-0.00016580943571254016,0.4892086330935252,0.0003520401462564514,-0.0001310018849631611,0.4892086330935252,8.798818453696199e-06,-0.0006304778078578151,0.4601449275362319,entry_scalp_or_exit,5.477235994938615
5m,bullish_engulfing,long,reversal,301,0.0002941174151563142,0.00012475035807633724,0.5133333333333333,0.0003866202187031207,7.338179681558157e-05,0.5066666666666667,0.0007615464944099955,0.0003178082212371431,0.5133333333333333,weak_or_context_only,5.386202187031207
5m,bullish_marubozu,long,continuation,241,0.00023059877245301316,-0.0002483741630044196,0.4605809128630705,0.00019145957888285715,-0.000200004756331499,0.48333333333333334,0.000678087442536558,0.00017726737840516817,0.5042016806722689,weak_or_context_only,3.3645957888285714
5m,bearish_engulfing,short,reversal,322,0.0001330722891991695,0.0002767542500298453,0.5186335403726708,0.0001286404149908222,9.548387667248051e-05,0.5093167701863354,-0.0005153830495337785,-0.00010780131286681359,0.4937888198757764,entry_scalp_or_exit,3.323671230653564
5m,hammer,long,reversal,119,-0.00017020049303476486,4.6246090883894205e-05,0.5084745762711864,0.00020900289566495715,0.00040975874460496826,0.5338983050847458,-3.377557672511853e-05,0.0012720287571197702,0.5982905982905983,entry_hold,2.3317357581725435
5m,tweezer_bottom,long,reversal,360,7.560298311813403e-05,0.00036171598061202347,0.5348189415041783,5.4787761414862146e-05,0.00016447368421050138,0.5125348189415042,0.00018327123456756962,0.0006381558308949078,0.5251396648044693,weak_or_context_only,2.085482070973134
5m,shooting_star,short,reversal,116,-0.0004965440530852324,-0.000143466104173604,0.47413793103448276,-5.128273099661358e-05,0.0004014737319881277,0.5172413793103449,8.72260328173209e-05,0.0003647552063441268,0.5217391304347826,weak_or_context_only,1.038896827964899
5m,spinning_top,neutral,indecision,913,0.003511449657611467,0.0023836922354490715,1.0,0.005097588943415716,0.00343796257703562,1.0,0.00946399325215886,0.0064978723492945464,0.9989010989010989,exit/watch,0.003511449657611467
5m,long_legged_doji,neutral,indecision,315,0.003439234889076009,0.002542545602771838,1.0,0.005072002722034674,0.0036540163091565024,1.0,0.009390756389328538,0.006374146925055267,1.0,exit/watch,0.003439234889076009
5m,doji,neutral,indecision,911,0.0034246527895578035,0.002427274696478584,1.0,0.005093315978978359,0.0036536352914236844,1.0,0.00933481350855078,0.006326249409114188,1.0,exit/watch,0.0034246527895578035
5m,bullish_harami,long,reversal,246,-0.0004129689751970263,0.0001545096174715703,0.5203252032520326,-0.00044301257866012465,0.0003175453904143953,0.5284552845528455,-0.00032580353489676495,0.0004945186511613617,0.5428571428571428,entry_hold,-0.615758926203422
5m,bearish_harami,short,reversal,238,-0.0005536287879996769,0.0001727951659512772,0.5210084033613446,-0.0005452172683499306,0.000669709764453351,0.5336134453781513,-0.0010059031485988724,0.00030438126403262497,0.5294117647058824,weak_or_context_only,-3.851332347364852
5m,tweezer_top,short,reversal,384,-0.0004157327689231557,0.0004366910864527799,0.5364583333333334,-0.00056234345268401,0.00018167842945834714,0.5078125,-0.0007015518098949166,9.78823160913856e-05,0.5065616797900262,weak_or_context_only,-4.099997026840101
5m,three_black_crows,short,continuation,11,-0.0020861593669538204,0.000766169256558722,0.5454545454545454,-0.0012220577557516142,-0.00031346349086046793,0.45454545454545453,-0.0029531351558669166,-0.0023296985496532026,0.36363636363636365,weak_or_context_only,-10.856941193879779
5m,dragonfly_doji,long,reversal,66,-0.001133054253594287,-0.0008198118668826829,0.42424242424242425,-0.0014094859651470296,-0.0006059941679658831,0.48484848484848486,0.0009276246494922699,0.001484205620732308,0.6153846153846154,weak_or_context_only,-12.640314196924841
5m,three_white_soldiers,long,continuation,13,-0.0008156824476780234,-0.0005056037751748738,0.46153846153846156,-0.0020497624238290423,-0.0011665698112395498,0.38461538461538464,0.0024306832396969597,0.001959214628802576,0.6153846153846154,weak_or_context_only,-19.34377808444427
5m,dark_cloud_cover,short,reversal,86,-0.0016226489244270496,-0.0006344203427243688,0.43023255813953487,-0.0021523668679943164,-0.0011008243443100148,0.3953488372093023,-0.0028618997043429266,-0.0015942155688007573,0.4235294117647059,weak_or_context_only,-20.337622168315256
5m,evening_star,short,reversal,43,-0.0014765683834980033,-0.0015236878720830687,0.37209302325581395,-0.0023577277793263036,-0.0014801717605456245,0.4186046511627907,-0.0030447076106590244,-0.0019868383618376687,0.3953488372093023,weak_or_context_only,-22.321463839774665
